Energy,ElecStopPower,NucStopPower,TotalStopPower
1.00E-03,1.34E+02,4.32E+01,1.77E+02
1.50E-03,1.64E+02,3.46E+01,1.98E+02
2.00E-03,1.89E+02,2.93E+01,2.18E+02
2.50E-03,2.11E+02,2.56E+01,2.37E+02
3.00E-03,2.32E+02,2.28E+01,2.54E+02
4.00E-03,2.68E+02,1.89E+01,2.86E+02
5.00E-03,2.99E+02,1.63E+01,3.15E+02
6.00E-03,3.28E+02,1.44E+01,3.42E+02
7.00E-03,3.54E+02,1.29E+01,3.67E+02
8.00E-03,3.78E+02,1.18E+01,3.90E+02
9.00E-03,4.01E+02,1.08E+01,4.12E+02
1.00E-02,4.23E+02,1.00E+01,4.33E+02
1.25E-02,4.66E+02,8.49E+00,4.75E+02
1.50E-02,5.04E+02,7.40E+00,5.11E+02
1.75E-02,5.37E+02,6.58E+00,5.44E+02
2.00E-02,5.67E+02,5.94E+00,5.73E+02
2.25E-02,5.95E+02,5.42E+00,6.00E+02
2.50E-02,6.20E+02,4.99E+00,6.25E+02
2.75E-02,6.42E+02,4.63E+00,6.47E+02
3.00E-02,6.63E+02,4.33E+00,6.67E+02
3.50E-02,6.99E+02,3.83E+00,7.03E+02
4.00E-02,7.29E+02,3.44E+00,7.32E+02
4.50E-02,7.54E+02,3.13E+00,7.57E+02
5.00E-02,7.74E+02,2.87E+00,7.77E+02
5.50E-02,7.90E+02,2.66E+00,7.93E+02
6.00E-02,8.03E+02,2.47E+00,8.05E+02
6.50E-02,8.12E+02,2.32E+00,8.14E+02
7.00E-02,8.18E+02,2.18E+00,8.21E+02
7.50E-02,8.22E+02,2.06E+00,8.24E+02
8.00E-02,8.241E+02,1.95E+00,8.26E+02
8.50E-02,8.239E+02,1.86E+00,8.26E+02
9.00E-02,8.22E+02,1.77E+00,8.24E+02
9.50E-02,8.19E+02,1.69E+00,8.21E+02
1.00E-01,8.15E+02,1.62E+00,8.16E+02
1.25E-01,7.80E+02,1.34E+00,7.81E+02
1.50E-01,7.36E+02,1.15E+00,7.37E+02
1.75E-01,6.96E+02,1.01E+00,6.97E+02
2.00E-01,6.60E+02,9.02E-01,6.61E+02
2.25E-01,6.29E+02,8.15E-01,6.29E+02
2.50E-01,6.00E+02,7.45E-01,6.01E+02
2.75E-01,5.74E+02,6.86E-01,5.74E+02
3.00E-01,5.50E+02,6.35E-01,5.50E+02
3.50E-01,5.08E+02,5.55E-01,5.08E+02
4.00E-01,4.71E+02,4.93E-01,4.72E+02
4.50E-01,4.40E+02,4.44E-01,4.41E+02
5.00E-01,4.13E+02,4.04E-01,4.13E+02
5.50E-01,3.89E+02,3.72E-01,3.89E+02
6.00E-01,3.68E+02,3.44E-01,3.68E+02
6.50E-01,3.49E+02,3.20E-01,3.49E+02
7.00E-01,3.32E+02,3.00E-01,3.33E+02
7.50E-01,3.17E+02,2.82E-01,3.18E+02
8.00E-01,3.04E+02,2.66E-01,3.04E+02
8.50E-01,2.91E+02,2.52E-01,2.92E+02
9.00E-01,2.80E+02,2.39E-01,2.81E+02
9.50E-01,2.70E+02,2.28E-01,2.70E+02
1.00E+00,2.61E+02,2.17E-01,2.61E+02
1.25E+00,2.23E+02,1.78E-01,2.23E+02
1.50E+00,1.96E+02,1.50E-01,1.96E+02
1.75E+00,1.75E+02,1.31E-01,1.75E+02
2.00E+00,1.59E+02,1.16E-01,1.59E+02
2.25E+00,1.45E+02,1.04E-01,1.45E+02
2.50E+00,1.34E+02,9.43E-02,1.34E+02
2.75E+00,1.25E+02,8.64E-02,1.25E+02
3.00E+00,1.17E+02,7.97E-02,1.17E+02
3.50E+00,1.04E+02,6.92E-02,1.04E+02
4.00E+00,9.40E+01,6.11E-02,9.40E+01
4.50E+00,8.58E+01,5.48E-02,8.59E+01
5.00E+00,7.91E+01,4.97E-02,7.91E+01
5.50E+00,7.34E+01,4.55E-02,7.34E+01
6.00E+00,6.85E+01,4.20E-02,6.86E+01
6.50E+00,6.43E+01,3.89E-02,6.44E+01
7.00E+00,6.07E+01,3.63E-02,6.07E+01
7.50E+00,5.74E+01,3.41E-02,5.75E+01
8.00E+00,5.46E+01,3.21E-02,5.46E+01
8.50E+00,5.20E+01,3.03E-02,5.20E+01
9.00E+00,4.97E+01,2.87E-02,4.97E+01
9.50E+00,4.76E+01,2.73E-02,4.76E+01
1.00E+01,4.56E+01,2.60E-02,4.57E+01
1.25E+01,3.81E+01,2.11E-02,3.82E+01
1.50E+01,3.29E+01,1.78E-02,3.29E+01
1.75E+01,2.90E+01,1.54E-02,2.91E+01
2.00E+01,2.61E+01,1.36E-02,2.61E+01
2.50E+01,2.17E+01,1.10E-02,2.18E+01
2.75E+01,2.01E+01,1.00E-02,2.01E+01
3.00E+01,1.88E+01,9.24E-03,1.88E+01
3.50E+01,1.66E+01,7.98E-03,1.66E+01
4.00E+01,1.49E+01,7.03E-03,1.49E+01
4.50E+01,1.35E+01,6.29E-03,1.35E+01
5.00E+01,1.24E+01,5.69E-03,1.25E+01
5.50E+01,1.15E+01,5.20E-03,1.15E+01
6.00E+01,1.08E+01,4.79E-03,1.08E+01
6.50E+01,1.01E+01,4.44E-03,1.01E+01
7.00E+01,9.56E+00,4.13E-03,9.56E+00
7.50E+01,9.06E+00,3.87E-03,9.06E+00
8.00E+01,8.62E+00,3.64E-03,8.63E+00
8.50E+01,8.23E+00,3.44E-03,8.24E+00
9.00E+01,7.88E+00,3.26E-03,7.89E+00
9.50E+01,7.57E+00,3.09E-03,7.57E+00
1.00E+02,7.29E+00,2.94E-03,7.29E+00
1.25E+02,6.19E+00,2.38E-03,6.19E+00
1.50E+02,5.44E+00,2.00E-03,5.45E+00
1.75E+02,4.90E+00,1.73E-03,4.90E+00
2.00E+02,4.49E+00,1.52E-03,4.49E+00
2.25E+02,4.17E+00,1.36E-03,4.17E+00
2.50E+02,3.91E+00,1.23E-03,3.91E+00
2.75E+02,3.70E+00,1.12E-03,3.70E+00
3.00E+02,3.52E+00,1.04E-03,3.52E+00
3.50E+02,3.24E+00,8.94E-04,3.24E+00
4.00E+02,3.03E+00,7.87E-04,3.03E+00
4.50E+02,2.87E+00,7.04E-04,2.87E+00
5.00E+02,2.74E+00,6.37E-04,2.74E+00
5.50E+02,2.64E+00,5.82E-04,2.64E+00
6.00E+02,2.56E+00,5.36E-04,2.56E+00
6.50E+02,2.49E+00,4.96E-04,2.49E+00
7.00E+02,2.43E+00,4.63E-04,2.43E+00
7.50E+02,2.38E+00,4.33E-04,2.38E+00
8.00E+02,2.33E+00,4.08E-04,2.33E+00
8.50E+02,2.30E+00,3.85E-04,2.30E+00
9.00E+02,2.26E+00,3.65E-04,2.26E+00
9.50E+02,2.24E+00,3.46E-04,2.24E+00
1.00E+03,2.21E+00,3.30E-04,2.21E+00
1.50E+03,2.07E+00,2.25E-04,2.07E+00
2.00E+03,2.02E+00,1.72E-04,2.02E+00
2.50E+03,2.004E+00,1.39E-04,2.004E+00
3.00E+03,2.001E+00,1.17E-04,2.001E+00